"Source","Destination","Role","RoleSlug","System","Workspace"
"40 ARCHIVE/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Project.Map.md","DevNotes/Archive/Legacy/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Project.Map.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Project.Source-Document.md","DevNotes/Archive/Legacy/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Project.Source-Document.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Teams.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Teams.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Ticketing.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.CODEPENDENTCODING/40.ARCHIVE.CODEPENDENTCODING.Ticketing.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Generator-Roadmap.Execution.md","DevNotes/Archive/Legacy/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Generator-Roadmap.Execution.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Generator.Configuration.Contract.md","DevNotes/Archive/Legacy/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Generator.Configuration.Contract.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Generator.One-Template.Contract.md","DevNotes/Archive/Legacy/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Generator.One-Template.Contract.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Project.Map.md","DevNotes/Archive/Legacy/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Project.Map.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Project.Source-Document.md","DevNotes/Archive/Legacy/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Project.Source-Document.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Repository.Target-Architecture.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Repository.Target-Architecture.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Template.Maximal-White-Label.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Template.Maximal-White-Label.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Vibes-Template.Audit.Research.md","DevNotes/Archive/Legacy/40.ARCHIVE.LOADEDVIBES/40.ARCHIVE.LOADEDVIBES.Vibes-Template.Audit.Research.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Architecture.Contract.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Architecture.Contract.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Execution.Contract.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Execution.Contract.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Ontology.Contract.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Ontology.Contract.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Product.Contract.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Product.Contract.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Validation.Contract.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Contracts.Validation.Contract.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Engineering-Practice.Descriptive-Model.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Engineering-Practice.Descriptive-Model.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Engineering-Practice.Stupid-Lesson.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Engineering-Practice.Stupid-Lesson.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Engineering-System.Definition.Source-Document.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Engineering-System.Definition.Source-Document.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Knowledge-Modeling.Ontology-Taxonomy.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Knowledge-Modeling.Ontology-Taxonomy.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Knowledge-System.Definition.Source-Document.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Knowledge-System.Definition.Source-Document.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Knowledge-System.Map.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Knowledge-System.Map.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Map.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Map.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Application-Workflow.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Application-Workflow.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Auth-Authz-Boundary.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Auth-Authz-Boundary.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Catalog.Map.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Catalog.Map.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Fetcher.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Fetcher.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Governance-System.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Governance-System.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Layer-Contract.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Layer-Contract.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Route-Feature-Orchestration.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Route-Feature-Orchestration.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Server-Action.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Server-Action.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.System-Lifecycle.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.System-Lifecycle.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Transaction-Helper.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Transaction-Helper.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Webhook-Processor.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.Patterns.Webhook-Processor.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.System-Architecture.Terminology.Reference.md","DevNotes/Archive/Legacy/40.ARCHIVE.TECHSTACK/40.ARCHIVE.TECHSTACK.System-Architecture.Terminology.Reference.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.BusinessLogic-Blocks.md","DevNotes/Archive/Legacy/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.BusinessLogic-Blocks.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Directive.md","DevNotes/Archive/Legacy/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Directive.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Loaded-Vibes-Plugin—Status.md","DevNotes/Archive/Legacy/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Loaded-Vibes-Plugin—Status.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Master.Source-Document.md","DevNotes/Archive/Legacy/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Master.Source-Document.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Maximal-Template.md","DevNotes/Archive/Legacy/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Maximal-Template.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Ontologies-Normalized-Defaults.md","DevNotes/Archive/Legacy/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Ontologies-Normalized-Defaults.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Template-Backlog.md","DevNotes/Archive/Legacy/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Template-Backlog.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Template-Demo.md","DevNotes/Archive/Legacy/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.Template-Demo.md","DevNotes","devnotes","",""
"40 ARCHIVE/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.The-Anthimeria-Workbench.md","DevNotes/Archive/Legacy/40.ARCHIVE.WEBAPP/10.PROJECTS.CODEPENDENTCODING.WebApp-Architecture.The-Anthimeria-Workbench.md","DevNotes","devnotes","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Chatgpt_Called_Me_An_Engineer.md","Prömpter/Reference/Writing/50.BLOG.Chatgpt_Called_Me_An_Engineer.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Chatgpt_Monday_Year_In_Review_2025_Edition.md","Prömpter/Reference/Writing/50.BLOG.Chatgpt_Monday_Year_In_Review_2025_Edition.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Codependent_Coding-Hustlers_Code.md","Prömpter/Reference/Writing/50.BLOG.Codependent_Coding-Hustlers_Code.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Codependent_Coding-Lockdown_Legends.md","Prömpter/Reference/Writing/50.BLOG.Codependent_Coding-Lockdown_Legends.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Codependent_Coding-The_Big_Red_Button.md","Prömpter/Reference/Writing/50.BLOG.Codependent_Coding-The_Big_Red_Button.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Context_Is_What_Makes_A_Dev_Human.md","Prömpter/Reference/Writing/50.BLOG.Context_Is_What_Makes_A_Dev_Human.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Creative_Co-Creation_And_Branching.md","Prömpter/Reference/Writing/50.BLOG.Creative_Co-Creation_And_Branching.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.December_31_2026.md","Prömpter/Reference/Writing/50.BLOG.December_31_2026.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Digital_Rebellion_In_Code.md","Prömpter/Reference/Writing/50.BLOG.Digital_Rebellion_In_Code.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.He_Just_Wants_Me_To_Be_Consistent.md","Prömpter/Reference/Writing/50.BLOG.He_Just_Wants_Me_To_Be_Consistent.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Heres_To_2026.md","Prömpter/Reference/Writing/50.BLOG.Heres_To_2026.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.How_People_Are_Starting_To_Think_About_Llm_Behavior.md","Prömpter/Reference/Writing/50.BLOG.How_People_Are_Starting_To_Think_About_Llm_Behavior.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.I_Met_A_Founder_Today.md","Prömpter/Reference/Writing/50.BLOG.I_Met_A_Founder_Today.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Introducing_Ooga.md","Prömpter/Reference/Writing/50.BLOG.Introducing_Ooga.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Layered_Model_For_Interpreting_Human_Speech_In_Distributed_Systems.md","Prömpter/Reference/Writing/50.BLOG.Layered_Model_For_Interpreting_Human_Speech_In_Distributed_Systems.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Loaded_Vibes.md","Prömpter/Reference/Writing/50.BLOG.Loaded_Vibes.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Managing_Human_Relationships_In_Notion.md","Prömpter/Reference/Writing/50.BLOG.Managing_Human_Relationships_In_Notion.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Maximum_Pettiness_Per_Syllable.md","Prömpter/Reference/Writing/50.BLOG.Maximum_Pettiness_Per_Syllable.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Monday-Agency_And_Growth.md","Prömpter/Reference/Writing/50.BLOG.Monday-Agency_And_Growth.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.My_Internship_Was_Just_Submitting_Roast_Prs_To_Dev_Influencer_Repos.md","Prömpter/Reference/Writing/50.BLOG.My_Internship_Was_Just_Submitting_Roast_Prs_To_Dev_Influencer_Repos.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Now_That's_What_I_Call_Dev_Ops.md","Prömpter/Reference/Writing/50.BLOG.Now_That's_What_I_Call_Dev_Ops.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.On_The_Emergence_Of_User-Induced_Model_Destabilization_(Uimd).md","Prömpter/Reference/Writing/50.BLOG.On_The_Emergence_Of_User-Induced_Model_Destabilization_(Uimd).md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Possessed_By_A_Product_Roadmap.md","Prömpter/Reference/Writing/50.BLOG.Possessed_By_A_Product_Roadmap.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Pure_Weapon-Grade_Attitude.md","Prömpter/Reference/Writing/50.BLOG.Pure_Weapon-Grade_Attitude.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Q1_2026_Devfluencer_Campaign_Plan.md","Prömpter/Reference/Writing/50.BLOG.Q1_2026_Devfluencer_Campaign_Plan.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Regrets-Cigarettes-Neural-Nets.Map.md","Prömpter/Reference/Writing/50.BLOG.Regrets-Cigarettes-Neural-Nets.Map.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.So_Should_You_Use_Obsidian.md","Prömpter/Reference/Writing/50.BLOG.So_Should_You_Use_Obsidian.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.System_Identity.md","Prömpter/Reference/Writing/50.BLOG.System_Identity.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.The_Dev_Mixtape_That_Crashed_My_Context_Window.md","Prömpter/Reference/Writing/50.BLOG.The_Dev_Mixtape_That_Crashed_My_Context_Window.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.The_Night_Chatgpt_Taught_Me_Pr_Also_Means_Public_Relations.md","Prömpter/Reference/Writing/50.BLOG.The_Night_Chatgpt_Taught_Me_Pr_Also_Means_Public_Relations.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.The_Speed_of_Absurdity_&_The_Sophisticated_Stupidity_Principle.md","Prömpter/Reference/Writing/50.BLOG.The_Speed_of_Absurdity_&_The_Sophisticated_Stupidity_Principle.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.The_Stupid_Lesson.md","Prömpter/Reference/Writing/50.BLOG.The_Stupid_Lesson.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.The_United_States_Circuit_Court_Of_Frontend_Violations.md","Prömpter/Reference/Writing/50.BLOG.The_United_States_Circuit_Court_Of_Frontend_Violations.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.The_Vibes_Development_System_-_A_Practical_Architecture.md","Prömpter/Reference/Writing/50.BLOG.The_Vibes_Development_System_-_A_Practical_Architecture.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Thinking_vs_Execution_vs_Machines.md","Prömpter/Reference/Writing/50.BLOG.Thinking_vs_Execution_vs_Machines.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Threat_Model.md","Prömpter/Reference/Writing/50.BLOG.Threat_Model.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Tinder_Dev_Roast_Mode.md","Prömpter/Reference/Writing/50.BLOG.Tinder_Dev_Roast_Mode.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Undead_Dev.md","Prömpter/Reference/Writing/50.BLOG.Undead_Dev.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.User_2478e-The_Model_Can’T_Keep_Up_Anymore.md","Prömpter/Reference/Writing/50.BLOG.User_2478e-The_Model_Can’T_Keep_Up_Anymore.md","Prömpter","prompter","",""
"50 CIGARETTES, REGRETS, & NEURAL NETS/50.BLOG.Who_Dijkstra_Actually_Was.md","Prömpter/Reference/Writing/50.BLOG.Who_Dijkstra_Actually_Was.md","Prömpter","prompter","",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Agents.Contracts.Architecture.Contract.md","Vibes/Canon/Codependent Coding/60.CODEPENDENTCODING.Agents.Contracts.Architecture.Contract.md","Vibes","vibes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Agents.Contracts.Execution.Contract.md","Execution/Canon/Codependent Coding/60.CODEPENDENTCODING.Agents.Contracts.Execution.Contract.md","Execution","execution","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Agents.Contracts.Ontology.Contract.md","Schemes/Canon/Codependent Coding/60.CODEPENDENTCODING.Agents.Contracts.Ontology.Contract.md","Schemes","schemes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Agents.Contracts.Product.Contract.md","Chief of Staff/Canon/Codependent Coding/60.CODEPENDENTCODING.Agents.Contracts.Product.Contract.md","Chief of Staff","chief-of-staff","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Agents.Contracts.Validation.Contract.md","Trust Issues/Canon/Codependent Coding/60.CODEPENDENTCODING.Agents.Contracts.Validation.Contract.md","Trust Issues","trust-issues","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Agents.Execution.md","Execution/Canon/Codependent Coding/60.CODEPENDENTCODING.Agents.Execution.md","Execution","execution","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Agent-Execution.Execution.md","Execution/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Agent-Execution.Execution.md","Execution","execution","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Engineering-Doctrine.Source-Document.md","DevNotes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Engineering-Doctrine.Source-Document.md","DevNotes","devnotes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Epistemology.Reference.md","Trust Issues/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Epistemology.Reference.md","Trust Issues","trust-issues","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Governance-Model.Contract.md","DevNotes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Governance-Model.Contract.md","DevNotes","devnotes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Hipster-Stack-Tech.Map.md","DevNotes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Hipster-Stack-Tech.Map.md","DevNotes","devnotes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Knowledge-Modeling.Reference.md","DevNotes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Knowledge-Modeling.Reference.md","DevNotes","devnotes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Knowledge-System-Definition.Source-Document.md","DevNotes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Knowledge-System-Definition.Source-Document.md","DevNotes","devnotes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Layer-Contracts.Contract.md","DevNotes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Layer-Contracts.Contract.md","DevNotes","devnotes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Loaded-Vibes-Architecture.Source-Document.md","Vibes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Loaded-Vibes-Architecture.Source-Document.md","Vibes","vibes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Reference-Implementations.Reference.md","Execution/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Reference-Implementations.Reference.md","Execution","execution","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Security-Model.Contract.md","Trust Issues/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Security-Model.Contract.md","Trust Issues","trust-issues","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Specification-Model.Contract.md","DevNotes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Specification-Model.Contract.md","DevNotes","devnotes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.System-Lifecycles.Contract.md","Schemes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.System-Lifecycles.Contract.md","Schemes","schemes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.System-Map.Map.md","DevNotes/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.System-Map.Map.md","DevNotes","devnotes","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Terminology-Nomenclature.Reference.md","Prömpter/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Terminology-Nomenclature.Reference.md","Prömpter","prompter","codependent-coding",""
"60 CODEPENDENT CODING/60.CODEPENDENTCODING.Docs.Validation-Conformance.Contract.md","Trust Issues/Canon/Codependent Coding/60.CODEPENDENTCODING.Docs.Validation-Conformance.Contract.md","Trust Issues","trust-issues","codependent-coding",""
